Action,Campaign,Campaign status,Budget,Budget type,Campaign type,Ad group,Ad group status,Ad type,Keyword,Headline 1,Headline 2,Headline 3,Description 1,Description 2,Max CPC,Final URL
Add,koktem tashkent 1.0 АП,Enabled,500,Daily,Search,,,,,,,,,,,
Add,koktem tashkent 1.0 АП,,,,,1001 роза цена,Enabled,,,,,,,,,
Add,koktem tashkent 1.0 АП,,,,,1001 роза цена,,,+1001 +роза +цена,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,1001 роза цена,,Responsive search ad,,1001 роза за 90 мин? Да!,Букет от 60 мин Честно,Свежие цветы по реальной цене,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,,https://uz.henrybonnar.com/?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}
Add,koktem tashkent 1.0 АП,,,,,1001 роза цена,,,1001 роза цена,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,1001 роза цена,,,+1001 +роза +цена +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,1001 роза цена,,,1001 роза цена Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,1001 роза цена,,,[1001 роза цена Алматы],,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,1001 роза цена,,,[1001 роза цена],,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,101 розы,Enabled,,,,,,,,,
Add,koktem tashkent 1.0 АП,,,,,101 розы,,,+101 +роза +цена +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,101 розы,,Responsive search ad,,101 роза от 25000 тг в Ташкент,Доставка за 2 часа. Звоните,Гарантия свежести цветов,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,,https://uz.henrybonnar.com/?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}
Add,koktem tashkent 1.0 АП,,,,,101 розы,,,+101 +роза +цена,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,101 розы,,,+101 +роза +купить +недорого +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,101 розы,,,+101 +роза +купить +недорого,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,101 розы,,,+101 +роза +магазин +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,101 розы,,,+101 +роза +магазин,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,101 розы,,,101 роза цена Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,101 розы,,,101 роза цена,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,101 розы,,,101 роза купить недорого Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,101 розы,,,101 роза купить недорого,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,101 розы,,,101 роза магазин Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,101 розы,,,101 роза магазин,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,101 розы,,,[101 роза цена Алматы],,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,101 розы,,,[101 роза цена],,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,101 розы,,,[101 роза купить недорого Алматы],,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,101 розы,,,[101 роза купить недорого],,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,101 розы,,,[101 роза магазин Алматы],,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,101 розы,,,[101 роза магазин],,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,белые тюльпаны,Enabled,,,,,,,,,
Add,koktem tashkent 1.0 АП,,,,,белые тюльпаны,,,+белые +тюльпаны +купить +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,белые тюльпаны,,Responsive search ad,,Где лучшие тюльпаны в Ташкент?,Доставка за 2 часа. Звоните,Гарантия свежести цветов,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,,https://uz.henrybonnar.com/?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}
Add,koktem tashkent 1.0 АП,,,,,белые тюльпаны,,,+белые +тюльпаны +купить,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,белые тюльпаны,,,+купить +белые +тюльпаны +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,белые тюльпаны,,,+купить +белые +тюльпаны,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,белые тюльпаны,,,белые тюльпаны купить Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,белые тюльпаны,,,белые тюльпаны купить,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,белые тюльпаны,,,купить белые тюльпаны Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,белые тюльпаны,,,купить белые тюльпаны,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,белые тюльпаны,,,[белые тюльпаны купить Алматы],,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,белые тюльпаны,,,[белые тюльпаны купить],,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,белые тюльпаны,,,[купить белые тюльпаны Алматы],,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,белые тюльпаны,,,[купить белые тюльпаны],,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,бесплатная доставка цветов,Enabled,,,,,,,,,
Add,koktem tashkent 1.0 АП,,,,,бесплатная доставка цветов,,,+цветы +бесплатная +доставка +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,бесплатная доставка цветов,,Responsive search ad,,Доставка цветов в Ташкент,Доставка 60 мин БЕСПЛАТНО?,Гарантия свежести цветов,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,,https://uz.henrybonnar.com/?utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}
Add,koktem tashkent 1.0 АП,,,,,бесплатная доставка цветов,,,+цветы +бесплатная +доставка,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,бесплатная доставка цветов,,,+цветы +с +бесплатной +доставкой +Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,бесплатная доставка цветов,,,+цветы +с +бесплатной +доставкой,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,бесплатная доставка цветов,,,цветы бесплатная доставка Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,бесплатная доставка цветов,,,цветы бесплатная доставка,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,бесплатная доставка цветов,,,цветы с бесплатной доставкой Алматы,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,бесплатная доставка цветов,,,цветы с бесплатной доставкой,,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,бесплатная доставка цветов,,,[цветы бесплатная доставка Алматы],,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,бесплатная доставка цветов,,,[цветы бесплатная доставка],,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,бесплатная доставка цветов,,,[цветы с бесплатной доставкой Алматы],,,,,,0.5,
Add,koktem tashkent 1.0 АП,,,,,бесплатная доставка цветов,,,[цветы с бесплатной доставкой],,,,,,0.5,
