,,,,,,,,,,,,,,,,,,Гео,статус,Campaign,Adgoup,Фраза (с минус-словами),Headline 1,30,Headline 2,30,Headline 3,30,Description 1,80,Description 2 ,80,MAX CPC,Ссылка
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,1001 роза цена,+1001 +роза +цена,"1001 роза за 90 мин? Да! 
",26,Букет от 60 мин Честно,22,Свежие цветы по реальной цене,29,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,1001 роза цена,"""1001 роза цена""","1001 роза за 90 мин? Да! 
",26,Букет от 60 мин Честно,22,Свежие цветы по реальной цене,29,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,1001 роза цена,+1001 +роза +цена +Алматы,"1001 роза за 90 мин? Да! 
",26,Букет от 60 мин Честно,22,Свежие цветы по реальной цене,29,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,1001 роза цена,"""1001 роза цена Алматы""","1001 роза за 90 мин? Да! 
",26,Букет от 60 мин Честно,22,Свежие цветы по реальной цене,29,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,1001 роза цена,[1001 роза цена Алматы],"1001 роза за 90 мин? Да! 
",26,Букет от 60 мин Честно,22,Свежие цветы по реальной цене,29,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,1001 роза цена,[1001 роза цена],"1001 роза за 90 мин? Да! 
",26,Букет от 60 мин Честно,22,Свежие цветы по реальной цене,29,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,101 розы,+101 +роза +цена +Алматы,101 роза от 25000 тг в Алматы,29,Доставка за 2 часа. Звоните,27,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,101 розы,+101 +роза +цена,101 роза от 25000 тг в Алматы,29,Доставка за 2 часа. Звоните,27,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,101 розы ,+101 +роза +купить +недорого +Алматы,101 роза от 25000 тг в Алматы,29,Доставка за 2 часа. Звоните,27,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,101 розы ,+101 +роза +купить +недорого,101 роза от 25000 тг в Алматы,29,Доставка за 2 часа. Звоните,27,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,101 розы ,+101 +роза +магазин +Алматы,101 роза от 25000 тг в Алматы,29,Доставка за 2 часа. Звоните,27,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,101 розы ,+101 +роза +магазин,101 роза от 25000 тг в Алматы,29,Доставка за 2 часа. Звоните,27,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,101 розы,"""101 роза цена Алматы""",101 роза от 25000 тг в Алматы,29,Доставка за 2 часа. Звоните,27,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,101 розы,"""101 роза цена""",101 роза от 25000 тг в Алматы,29,Доставка за 2 часа. Звоните,27,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,101 розы,"""101 роза купить недорого Алматы""",101 роза от 25000 тг в Алматы,29,Доставка за 2 часа. Звоните,27,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,101 розы,"""101 роза купить недорого""",101 роза от 25000 тг в Алматы,29,Доставка за 2 часа. Звоните,27,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,101 розы,"""101 роза магазин Алматы""",101 роза от 25000 тг в Алматы,29,Доставка за 2 часа. Звоните,27,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,101 розы,"""101 роза магазин""",101 роза от 25000 тг в Алматы,29,Доставка за 2 часа. Звоните,27,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,101 розы,[101 роза цена Алматы],101 роза от 25000 тг в Алматы,29,Доставка за 2 часа. Звоните,27,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,101 розы,[101 роза цена],101 роза от 25000 тг в Алматы,29,Доставка за 2 часа. Звоните,27,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,101 розы,[101 роза купить недорого Алматы],101 роза от 25000 тг в Алматы,29,Доставка за 2 часа. Звоните,27,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,101 розы,[101 роза купить недорого],101 роза от 25000 тг в Алматы,29,Доставка за 2 часа. Звоните,27,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,101 розы,[101 роза магазин Алматы],101 роза от 25000 тг в Алматы,29,Доставка за 2 часа. Звоните,27,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,101 розы,[101 роза магазин],101 роза от 25000 тг в Алматы,29,Доставка за 2 часа. Звоните,27,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,белые тюльпаны ,+белые +тюльпаны +купить +Алматы,Где лучшие тюльпаны в Алматы?,29,Доставка за 2 часа. Звоните,27,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,белые тюльпаны ,+белые +тюльпаны +купить,Где лучшие тюльпаны в Алматы?,29,Доставка за 2 часа. Звоните,27,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,белые тюльпаны ,+купить +белые +тюльпаны +Алматы,Где лучшие тюльпаны в Алматы?,29,Доставка за 2 часа. Звоните,27,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,белые тюльпаны ,+купить +белые +тюльпаны,Где лучшие тюльпаны в Алматы?,29,Доставка за 2 часа. Звоните,27,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,белые тюльпаны ,"""белые тюльпаны купить Алматы""",Где лучшие тюльпаны в Алматы?,29,Доставка за 2 часа. Звоните,27,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,белые тюльпаны ,"""белые тюльпаны купить""",Где лучшие тюльпаны в Алматы?,29,Доставка за 2 часа. Звоните,27,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,белые тюльпаны ,"""купить белые тюльпаны Алматы""",Где лучшие тюльпаны в Алматы?,29,Доставка за 2 часа. Звоните,27,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,белые тюльпаны ,"""купить белые тюльпаны""",Где лучшие тюльпаны в Алматы?,29,Доставка за 2 часа. Звоните,27,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,белые тюльпаны ,[белые тюльпаны купить Алматы],Где лучшие тюльпаны в Алматы?,29,Доставка за 2 часа Алматы,25,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,белые тюльпаны ,[белые тюльпаны купить],Где лучшие тюльпаны в Алматы?,29,Доставка за 2 часа. Звоните,27,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,белые тюльпаны ,[купить белые тюльпаны Алматы],Где лучшие тюльпаны в Алматы?,29,Доставка за 2 часа. Звоните,27,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,белые тюльпаны ,[купить белые тюльпаны],Где лучшие тюльпаны в Алматы?,29,Доставка за 2 часа. Звоните,27,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,бесплатная доставка цветов,+цветы +бесплатная +доставка +Алматы,Доставка цветов в Алматы,24,Доставка 60 мин БЕСПЛАТНО?,26,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,бесплатная доставка цветов,+цветы +бесплатная +доставка,Доставка цветов в Алматы,24,Доставка 60 мин БЕСПЛАТНО?,26,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,бесплатная доставка цветов,+цветы +с +бесплатной +доставкой +Алматы,Доставка цветов в Алматы,24,Доставка 60 мин БЕСПЛАТНО?,26,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,бесплатная доставка цветов,+цветы +с +бесплатной +доставкой,Доставка цветов в Алматы,24,Доставка 60 мин БЕСПЛАТНО?,26,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,бесплатная доставка цветов,"""цветы бесплатная доставка Алматы""",Доставка цветов в Алматы,24,Доставка 60 мин БЕСПЛАТНО?,26,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,бесплатная доставка цветов,"""цветы бесплатная доставка""",Доставка цветов в Алматы,24,Доставка 60 мин БЕСПЛАТНО?,26,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,бесплатная доставка цветов,"""цветы с бесплатной доставкой Алматы""",Доставка цветов в Алматы,24,Доставка 60 мин БЕСПЛАТНО?,26,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,бесплатная доставка цветов,"""цветы с бесплатной доставкой""",Доставка цветов в Алматы,24,Доставка 60 мин БЕСПЛАТНО?,26,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,бесплатная доставка цветов,[цветы бесплатная доставка Алматы],Доставка цветов в Алматы,24,Доставка 60 мин БЕСПЛАТНО?,26,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,бесплатная доставка цветов,[цветы бесплатная доставка],Доставка цветов в Алматы,24,Доставка 60 мин БЕСПЛАТНО?,26,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
,,,,,,,,,,,,,,,,,,kz,,koktem almaty 1.0 АП,бесплатная доставка цветов,[цветы с бесплатной доставкой Алматы],Доставка цветов в Алматы,24,Доставка 60 мин БЕСПЛАТНО?,26,Гарантия свежести цветов,24,20+ лет на рынке. Более 100тыс довольных клиентов. Открытка в подарок. Онлайн оплата,84,Более 100 видов цветов. Авторский дизайн букета. Скидки постоянным клиентам,75,"0,5",
